PID,Price
P1,338
P2,304
P3,559
P4,510
P5,360
P6,310
P7,789
P8,713
P9,170
P10,69
P11,963
P12,449
P13,765
P14,50
P15,268
P16,98
P17,743
P18,155
P19,638
P20,371
P21,832
P22,992
P23,248
P24,122
P25,938
P26,404
P27,540
P28,272
P29,337
P30,306
P31,106
P32,770
P33,512
P34,915
P35,698
P36,986
P37,76
P38,888
P39,509
P40,384
P41,97
P42,729
P43,251
P44,758
P45,736
P46,720
P47,947
P48,511
P49,451
P50,612
P51,52
P52,226
P53,427
P54,682
P55,741
P56,595
P57,227
P58,700
P59,548
P60,520
P61,713
P62,823
P63,892
P64,820
P65,771
P66,538
P67,595
P68,553
P69,815
P70,215
P71,801
P72,690
P73,66
P74,844
P75,230
P76,175
P77,119
P78,533
P79,799
P80,672
P81,674
P82,264
P83,713
P84,682
P85,333
P86,378
P87,900
P88,351
P89,331
P90,165
P91,298
P92,930
P93,730
P94,541
P95,670
P96,973
P97,164
P98,963
P99,379
P100,516
P101,794
P102,300
P103,587
P104,377
P105,721
P106,272
P107,961
P108,136
P109,336
P110,662
P111,643
P112,329
P113,125
P114,870
P115,569
P116,371
P117,808
P118,629
P119,662
P120,330
P121,715
P122,91
P123,161
P124,705
P125,439
P126,372
P127,971
P128,381
P129,473
P130,999
P131,740
P132,243
P133,254
P134,861
P135,645
P136,563
P137,824
P138,485
P139,88
P140,757
P141,303
P142,188
P143,431
P144,392
P145,562
P146,864
P147,661
P148,610
P149,316
P150,262
P151,285
P152,306
P153,838
P154,616
P155,366
P156,937
P157,791
P158,490
P159,234
P160,432
P161,661
P162,582
P163,441
P164,370
P165,242
P166,214
P167,305
P168,442
P169,306
P170,608
P171,424
P172,139
P173,440
P174,665
P175,164
P176,143
P177,336
P178,433
P179,804
P180,424
P181,844
P182,555
P183,987
P184,992
P185,627
P186,125
P187,191
P188,758
P189,224
P190,442
P191,327
P192,744
P193,282
P194,230
P195,227
P196,778
P197,956
P198,874
P199,316
P200,557
P201,472
P202,640
P203,550
P204,957
P205,150
P206,906
P207,910
P208,718
P209,732
P210,532
P211,879
P212,295
P213,943
P214,585
P215,444
P216,93
P217,517
P218,971
P219,959
P220,816
P221,754
P222,372
P223,371
P224,972
P225,811
P226,273
P227,111
P228,908
P229,777
P230,306
P231,387
P232,528
P233,125
P234,613
P235,943
P236,59
P237,350
P238,92
P239,340
P240,967
P241,205
P242,664
P243,738
P244,818
P245,810
P246,266
P247,66
P248,118
P249,564
P250,963
P251,274
P252,257
P253,450
P254,688
P255,943
P256,379
P257,724
P258,424
P259,854
P260,391
P261,585
P262,105
P263,880
P264,865
P265,512
P266,109
P267,594
P268,118
P269,272
P270,709
P271,128
P272,389
P273,724
P274,528
P275,856
P276,577
P277,283
P278,734
P279,347
P280,315
P281,87
P282,940
P283,201
P284,481
P285,207
P286,667
P287,710
P288,142
P289,507
P290,586
P291,776
P292,372
P293,816
P294,462
P295,89
P296,840
P297,692
P298,447
P299,941
P300,926
P301,135
P302,445
P303,279
P304,618
P305,595
P306,456
P307,890
P308,472
P309,997
P310,723
P311,70
P312,640
P313,660
P314,79
P315,446
P316,234
P317,405
P318,165
P319,787
P320,128
P321,745
P322,66
P323,872
P324,280
P325,829
P326,539
P327,302
P328,338
P329,445
P330,974
P331,753
P332,577
P333,386
P334,315
P335,554
P336,395
P337,399
P338,605
P339,712
P340,568
P341,82
P342,757
P343,150
P344,604
P345,287
P346,893
P347,544
P348,742
P349,628
P350,620
P351,973
P352,755
P353,763
P354,129
P355,116
P356,965
P357,887
P358,378
P359,960
P360,920
P361,770
P362,297
P363,819
P364,612
P365,121
P366,392
P367,588
P368,716
P369,80
P370,217
P371,839
P372,622
P373,866
P374,500
P375,635
P376,650
P377,269
P378,833
P379,625
P380,90
P381,85
P382,706
P383,574
P384,791
P385,719
P386,776
P387,172
P388,184
P389,646
P390,872
P391,901
P392,378
P393,434
P394,924
P395,372
P396,808
P397,176
P398,977
P399,75
P400,122
P401,906
P402,407
P403,528
P404,845
P405,193
P406,294
P407,324
P408,834
P409,395
P410,850
P411,350
P412,803
P413,407
P414,226
P415,826
P416,655
P417,570
P418,80
P419,66
P420,679
P421,408
P422,690
P423,185
P424,221
P425,111
P426,310
P427,265
P428,66
P429,617
P430,103
P431,375
P432,421
P433,841
P434,51
P435,774
P436,55
P437,887
P438,367
P439,475
P440,831
P441,189
P442,476
P443,758
P444,667
P445,322
P446,626
P447,821
P448,351
P449,982
P450,638
P451,944
P452,969
P453,365
P454,96
P455,300
P456,536
P457,929
P458,896
P459,210
P460,224
P461,295
P462,366
P463,197
P464,315
P465,413
P466,198
P467,459
P468,717
P469,803
P470,370
P471,387
P472,935
P473,468
P474,916
P475,732
P476,432
P477,991
P478,308
P479,142
P480,945
P481,408
P482,755
P483,721
P484,756
P485,351
P486,826
P487,811
P488,392
P489,503
P490,369
P491,150
P492,323
P493,330
P494,127
P495,310
P496,222
P497,98
P498,987
P499,443
P500,803
P501,690
P502,81
P503,811
P504,102
P505,452
P506,855
P507,785
P508,284
P509,811
P510,329
P511,368
P512,832
P513,300
P514,546
P515,470
P516,730
P517,843
P518,427
P519,839
P520,928
P521,356
P522,266
P523,502
P524,164
P525,893
P526,425
P527,436
P528,601
P529,478
P530,141
P531,229
P532,786
P533,496
P534,235
P535,212
P536,561
P537,469
P538,489
P539,308
P540,843
P541,79
P542,515
P543,894
P544,527
P545,129
P546,587
P547,852
P548,507
P549,571
P550,188
P551,307
P552,849
P553,143
P554,923
P555,780
P556,532
P557,122
P558,723
P559,275
P560,987
P561,696
P562,688
P563,290
P564,741
P565,530
P566,358
P567,182
P568,457
P569,447
P570,979
P571,747
P572,789
P573,218
P574,475
P575,349
P576,641
P577,362
P578,943
P579,984
P580,254
P581,142
P582,942
P583,859
P584,827
P585,337
P586,758
P587,235
P588,534
P589,666
P590,812
P591,547
P592,100
P593,230
P594,862
P595,150
P596,795
P597,222
P598,117
P599,271
P600,311
P601,855
P602,750
P603,833
P604,323
P605,533
P606,930
P607,939
P608,223
P609,491
P610,713
P611,708
P612,103
P613,987
P614,361
P615,827
P616,450
P617,239
P618,143
P619,111
P620,764
P621,59
P622,472
P623,611
P624,301
P625,744
P626,983
P627,477
P628,406
P629,438
P630,423
P631,94
P632,356
P633,87
P634,872
P635,183
P636,980
P637,214
P638,714
P639,778
P640,340
P641,935
P642,873
P643,188
P644,738
P645,751
P646,520
P647,323
P648,967
P649,280
P650,816
P651,62
P652,826
P653,854
P654,821
P655,420
P656,477
P657,558
P658,883
P659,362
P660,722
P661,342
P662,835
P663,742
P664,886
P665,740
P666,123
P667,762
P668,472
P669,951
P670,154
P671,426
P672,566
P673,878
P674,332
P675,571
P676,747
P677,328
P678,117
P679,935
P680,408
P681,412
P682,405
P683,118
P684,862
P685,942
P686,460
P687,737
P688,125
P689,594
P690,962
P691,905
P692,781
P693,567
P694,409
P695,630
P696,690
P697,924
P698,689
P699,549
P700,668
P701,196
P702,661
P703,88
P704,320
P705,572
P706,838
P707,342
P708,927
P709,523
P710,597
P711,100
P712,436
P713,907
P714,810
P715,550
P716,390
P717,795
P718,100
P719,858
P720,887
P721,340
P722,811
P723,646
P724,746
P725,80
P726,557
P727,985
P728,298
P729,625
P730,576
P731,414
P732,143
P733,792
P734,647
P735,944
P736,835
P737,52
P738,942
P739,239
P740,666
P741,902
P742,489
P743,287
P744,403
P745,912
P746,762
P747,322
P748,879
P749,751
P750,677
P751,694
P752,321
P753,174
P754,721
P755,174
P756,330
P757,422
P758,279
P759,528
P760,346
P761,496
P762,385
P763,322
P764,402
P765,464
P766,972
P767,865
P768,526
P769,218
P770,329
P771,873
P772,230
P773,483
P774,96
P775,500
P776,845
P777,698
P778,453
P779,502
P780,171
P781,380
P782,64
P783,577
P784,653
P785,954
P786,440
P787,767
P788,50
P789,852
P790,158
P791,735
P792,370
P793,584
P794,809
P795,260
P796,648
P797,720
P798,216
P799,764
P800,337
P801,507
P802,466
P803,485
P804,659
P805,869
P806,889
P807,677
P808,454
P809,785
P810,560
P811,813
P812,350
P813,966
P814,55
P815,102
P816,376
P817,941
P818,172
P819,209
P820,737
P821,698
P822,470
P823,862
P824,753
P825,858
P826,500
P827,673
P828,189
P829,665
P830,573
P831,493
P832,58
P833,582
P834,361
P835,301
P836,858
P837,315
P838,243
P839,662
P840,98
P841,552
P842,293
P843,287
P844,341
P845,577
P846,108
P847,882
P848,224
P849,881
P850,509
P851,223
P852,159
P853,229
P854,298
P855,239
P856,560
P857,413
P858,499
P859,799
P860,867
P861,407
P862,512
P863,128
P864,634
P865,301
P866,223
P867,288
P868,223
P869,383
P870,157
P871,814
P872,221
P873,253
P874,97
P875,210
P876,827
P877,136
P878,605
P879,1000
P880,938
P881,146
P882,830
P883,190
P884,877
P885,941
P886,996
P887,617
P888,419
P889,391
P890,110
P891,833
P892,925
P893,613
P894,591
P895,114
P896,373
P897,694
P898,385
P899,190
P900,402
P901,362
P902,821
P903,95
P904,324
P905,963
P906,658
P907,743
P908,802
P909,508
P910,199
P911,752
P912,734
P913,327
P914,950
P915,458
P916,382
P917,341
P918,164
P919,987
P920,431
P921,313
P922,545
P923,108
P924,848
P925,803
P926,641
P927,177
P928,191
P929,496
P930,280
P931,339
P932,852
P933,867
P934,385
P935,452
P936,531
P937,51
P938,534
P939,995
P940,355
P941,543
P942,865
P943,752
P944,887
P945,395
P946,897
P947,527
P948,678
P949,371
P950,470
P951,798
P952,202
P953,435
P954,753
P955,725
P956,407
P957,845
P958,617
P959,445
P960,547
P961,421
P962,81
P963,151
P964,694
P965,706
P966,93
P967,770
P968,819
P969,905
P970,961
P971,805
P972,538
P973,340
P974,851
P975,763
P976,715
P977,152
P978,923
P979,734
P980,386
P981,738
P982,424
P983,287
P984,716
P985,133
P986,462
P987,97
P988,927
P989,398
P990,776
P991,634
P992,257
P993,414
P994,531
P995,428
P996,784
P997,354
P998,216
P999,390
P1000,84
P1001,267
P1002,659
P1003,527
P1004,624
P1005,275
P1006,404
P1007,729
P1008,342
P1009,303
P1010,222
P1011,195
P1012,822
P1013,904
P1014,204
P1015,821
P1016,575
P1017,728
P1018,993
P1019,532
P1020,808
P1021,398
P1022,816
P1023,294
P1024,640
P1025,588
P1026,759
P1027,919
P1028,345
P1029,747
P1030,450
P1031,257
P1032,497
P1033,450
P1034,546
P1035,647
P1036,805
P1037,644
P1038,259
P1039,80
P1040,235
P1041,375
P1042,376
P1043,878
P1044,849
P1045,119
P1046,580
P1047,143
P1048,176
P1049,582
P1050,120
P1051,68
P1052,65
P1053,527
P1054,718
P1055,507
P1056,478
P1057,848
P1058,904
P1059,589
P1060,523
P1061,298
P1062,977
P1063,672
P1064,837
P1065,740
P1066,728
P1067,116
P1068,166
P1069,248
P1070,341
P1071,616
P1072,290
P1073,417
P1074,361
P1075,182
P1076,671
P1077,971
P1078,775
P1079,577
P1080,463
P1081,675
P1082,492
P1083,738
P1084,333
P1085,141
P1086,587
P1087,899
P1088,234
P1089,222
P1090,799
P1091,162
P1092,328
P1093,913
P1094,412
P1095,276
P1096,535
P1097,187
P1098,347
P1099,954
P1100,267
P1101,558
P1102,287
P1103,949
P1104,403
P1105,844
P1106,292
P1107,487
P1108,404
P1109,140
P1110,906
P1111,236
P1112,687
P1113,585
P1114,205
P1115,628
P1116,696
P1117,259
P1118,986
P1119,948
P1120,537
P1121,880
P1122,489
P1123,84
P1124,235
P1125,482
P1126,907
P1127,653
P1128,356
P1129,395
P1130,192
P1131,794
P1132,220
P1133,133
P1134,189
P1135,174
P1136,170
P1137,959
P1138,138
P1139,128
P1140,526
P1141,340
P1142,313
P1143,249
P1144,146
P1145,187
P1146,179
P1147,960
P1148,775
P1149,203
P1150,799
P1151,433
P1152,714
P1153,751
P1154,450
P1155,852
P1156,670
P1157,653
P1158,423
P1159,555
P1160,154
P1161,558
P1162,972
P1163,727
P1164,460
P1165,810
P1166,220
P1167,435
P1168,857
P1169,394
P1170,608
P1171,73
P1172,678
P1173,652
P1174,487
P1175,158
P1176,468
P1177,647
P1178,118
P1179,736
P1180,154
P1181,407
P1182,423
P1183,474
P1184,600
P1185,310
P1186,676
P1187,848
P1188,119
P1189,733
P1190,563
P1191,409
P1192,482
P1193,804
P1194,847
P1195,692
P1196,724
P1197,754
P1198,513
P1199,431
P1200,222
P1201,483
P1202,605
P1203,85
P1204,218
P1205,473
P1206,336
P1207,188
P1208,557
P1209,861
P1210,79
P1211,311
P1212,617
P1213,598
P1214,629
P1215,792
P1216,805
P1217,976
P1218,823
P1219,916
P1220,792
P1221,614
P1222,298
P1223,136
P1224,863
P1225,263
P1226,61
P1227,628
P1228,874
P1229,325
P1230,799
P1231,702
P1232,902
P1233,329
P1234,610
P1235,296
P1236,653
P1237,78
P1238,436
P1239,63
P1240,334
P1241,316
P1242,971
P1243,227
P1244,780
P1245,404
P1246,447
P1247,856
P1248,608
P1249,862
P1250,642
P1251,91
P1252,387
P1253,862
P1254,902
P1255,711
P1256,652
P1257,470
P1258,407
P1259,249
P1260,803
P1261,420
P1262,725
P1263,523
P1264,492
P1265,372
P1266,138
P1267,518
P1268,520
P1269,308
P1270,938
P1271,751
P1272,589
P1273,310
P1274,119
P1275,604
P1276,641
P1277,98
P1278,71
P1279,262
P1280,835
P1281,621
P1282,74
P1283,378
P1284,686
P1285,116
P1286,585
P1287,341
P1288,225
P1289,290
P1290,399
P1291,534
P1292,755
P1293,358
P1294,553
P1295,428
P1296,932
P1297,224
P1298,145
P1299,873
P1300,407
P1301,358
P1302,552
P1303,182
P1304,761
P1305,261
P1306,129
P1307,791
P1308,880
P1309,940
P1310,305
P1311,155
P1312,488
P1313,753
P1314,214
P1315,609
P1316,969
P1317,475
P1318,529
P1319,148
P1320,323
P1321,676
P1322,688
P1323,831
P1324,76
P1325,253
P1326,450
P1327,223
P1328,295
P1329,505
P1330,103
P1331,131
P1332,261
P1333,811
P1334,896
P1335,148
P1336,416
P1337,673
P1338,682
P1339,209
P1340,403
P1341,430
P1342,839
P1343,194
P1344,108
P1345,315
P1346,296
P1347,829
P1348,192
P1349,840
P1350,82
P1351,748
P1352,113
P1353,296
P1354,900
P1355,218
P1356,563
P1357,79
P1358,856
P1359,848
P1360,206
P1361,989
P1362,677
P1363,927
P1364,129
P1365,361
P1366,413
P1367,777
P1368,588
P1369,172
P1370,809
P1371,409
P1372,917
P1373,407
P1374,922
P1375,531
P1376,918
P1377,774
P1378,283
P1379,397
P1380,262
P1381,567
P1382,797
P1383,893
P1384,493
P1385,876
P1386,647
P1387,180
P1388,620
P1389,740
P1390,852
P1391,769
P1392,645
P1393,240
P1394,732
P1395,494
P1396,68
P1397,335
P1398,571
P1399,900
P1400,107
P1401,816
P1402,701
P1403,163
P1404,412
P1405,94
P1406,886
P1407,350
P1408,600
P1409,716
P1410,416
P1411,994
P1412,243
P1413,712
P1414,630
P1415,319
P1416,702
P1417,619
P1418,146
P1419,790
P1420,394
P1421,576
P1422,556
P1423,408
P1424,823
P1425,564
P1426,460
P1427,253
P1428,778
P1429,202
P1430,974
P1431,66
P1432,126
P1433,868
P1434,755
P1435,676
P1436,409
P1437,807
P1438,858
P1439,752
P1440,890
P1441,622
P1442,713
P1443,825
P1444,758
P1445,523
P1446,214
P1447,756
P1448,632
P1449,984
P1450,639
P1451,611
P1452,62
P1453,768
P1454,636
P1455,188
P1456,234
P1457,322
P1458,639
P1459,732
P1460,659
P1461,237
P1462,972
P1463,511
P1464,134
P1465,549
P1466,757
P1467,838
P1468,724
P1469,597
P1470,474
P1471,692
P1472,391
P1473,617
P1474,937
P1475,469
P1476,599
P1477,419
P1478,452
P1479,813
P1480,204
P1481,376
P1482,940
P1483,463
P1484,921
P1485,516
P1486,259
P1487,111
P1488,136
P1489,668
P1490,767
P1491,883
P1492,513
P1493,104
P1494,807
P1495,618
P1496,907
P1497,373
P1498,831
P1499,599
P1500,73
P1501,949
P1502,403
P1503,792
P1504,273
P1505,789
P1506,831
P1507,393
P1508,777
P1509,505
P1510,721
P1511,152
P1512,860
P1513,716
P1514,127
P1515,580
P1516,52
P1517,472
P1518,375
P1519,788
P1520,146
P1521,336
P1522,207
P1523,457
P1524,707
P1525,180
P1526,719
P1527,916
P1528,772
P1529,473
P1530,744
P1531,55
P1532,547
P1533,258
P1534,134
P1535,368
P1536,325
P1537,246
P1538,842
P1539,73
P1540,372
P1541,773
P1542,780
P1543,838
P1544,689
P1545,639
P1546,366
P1547,150
P1548,745
P1549,697
P1550,829
P1551,636
P1552,687
P1553,984
P1554,59
P1555,803
P1556,99
P1557,185
P1558,76
P1559,209
P1560,678
P1561,125
P1562,318
P1563,441
P1564,525
P1565,953
P1566,151
P1567,348
P1568,567
P1569,432
P1570,767
P1571,750
P1572,525
P1573,782
P1574,50
P1575,115
P1576,93
P1577,115
P1578,971
P1579,317
P1580,59
P1581,150
P1582,651
P1583,564
P1584,119
P1585,303
P1586,379
P1587,657
P1588,847
P1589,949
P1590,948
P1591,347
P1592,280
P1593,851
P1594,856
P1595,209
P1596,879
P1597,850
P1598,797
P1599,615
P1600,152
P1601,798
P1602,754
P1603,980
P1604,493
P1605,520
P1606,740
P1607,659
P1608,375
P1609,926
P1610,68
P1611,439
P1612,318
P1613,862
P1614,109
P1615,798
P1616,439
P1617,758
P1618,501
P1619,945
P1620,503
P1621,764
P1622,586
P1623,521
P1624,599
P1625,607
P1626,180
P1627,723
P1628,637
P1629,539
P1630,197
P1631,884
P1632,953
P1633,726
P1634,941
P1635,183
P1636,260
P1637,671
P1638,752
P1639,732
P1640,690
P1641,491
P1642,445
P1643,682
P1644,643
P1645,241
P1646,532
P1647,151
P1648,746
P1649,247
P1650,59
P1651,174
P1652,599
P1653,316
P1654,786
P1655,949
P1656,258
P1657,271
P1658,142
P1659,227
P1660,740
P1661,194
P1662,445
P1663,191
P1664,890
P1665,398
P1666,986
P1667,759
P1668,546
P1669,183
P1670,145
P1671,664
P1672,772
P1673,803
P1674,131
P1675,756
P1676,197
P1677,297
P1678,426
P1679,258
P1680,393
P1681,351
P1682,787
P1683,446
P1684,223
P1685,743
P1686,991
P1687,389
P1688,409
P1689,360
P1690,120
P1691,726
P1692,692
P1693,187
P1694,652
P1695,195
P1696,787
P1697,727
P1698,286
P1699,314
P1700,282
P1701,977
P1702,90
P1703,283
P1704,650
P1705,694
P1706,602
P1707,302
P1708,780
P1709,805
P1710,663
P1711,589
P1712,356
P1713,476
P1714,301
P1715,576
P1716,180
P1717,853
P1718,497
P1719,73
P1720,604
P1721,447
P1722,826
P1723,174
P1724,391
P1725,853
P1726,810
P1727,186
P1728,746
P1729,356
P1730,530
P1731,51
P1732,643
P1733,272
P1734,784
P1735,369
P1736,225
P1737,220
P1738,813
P1739,792
P1740,850
P1741,461
P1742,785
P1743,855
P1744,431
P1745,433
P1746,664
P1747,895
P1748,788
P1749,660
P1750,106
P1751,892
P1752,322
P1753,468
P1754,555
P1755,507
P1756,898
P1757,120
P1758,261
P1759,341
P1760,502
P1761,407
P1762,68
P1763,495
P1764,105
P1765,502
P1766,362
P1767,544
P1768,725
P1769,74
P1770,81
P1771,65
P1772,63
P1773,109
P1774,877
P1775,350
P1776,251
P1777,594
P1778,61
P1779,984
P1780,438
P1781,841
P1782,533
P1783,447
P1784,705
P1785,504
P1786,788
P1787,277
P1788,445
P1789,297
P1790,686
P1791,453
P1792,748
P1793,596
P1794,252
P1795,337
P1796,192
P1797,585
P1798,243
P1799,871
P1800,163
P1801,799
P1802,284
P1803,404
P1804,657
P1805,799
P1806,469
P1807,888
P1808,889
P1809,187
P1810,764
P1811,389
P1812,353
P1813,931
P1814,275
P1815,82
P1816,406
P1817,674
P1818,101
P1819,97
P1820,997
P1821,359
P1822,646
P1823,813
P1824,485
P1825,280
P1826,572
P1827,162
P1828,527
P1829,760
P1830,163
P1831,183
P1832,96
P1833,417
P1834,437
P1835,684
P1836,812
P1837,403
P1838,578
P1839,553
P1840,508
P1841,756
P1842,898
P1843,776
P1844,877
P1845,252
P1846,446
P1847,580
P1848,543
P1849,561
P1850,334
P1851,972
P1852,469
P1853,352
P1854,409
P1855,636
P1856,426
P1857,753
P1858,726
P1859,152
P1860,990
P1861,911
P1862,804
P1863,695
P1864,286
P1865,750
P1866,59
P1867,373
P1868,804
P1869,968
P1870,582
P1871,753
P1872,946
P1873,148
P1874,99
P1875,957
P1876,918
P1877,797
P1878,706
P1879,123
P1880,251
P1881,685
P1882,81
P1883,65
P1884,906
P1885,377
P1886,814
P1887,849
P1888,76
P1889,275
P1890,798
P1891,902
P1892,816
P1893,283
P1894,616
P1895,736
P1896,959
P1897,518
P1898,913
P1899,839
P1900,332
P1901,283
P1902,961
P1903,469
P1904,586
P1905,582
P1906,188
P1907,460
P1908,751
P1909,429
P1910,612
P1911,570
P1912,271
P1913,458
P1914,177
P1915,395
P1916,800
P1917,767
P1918,539
P1919,251
P1920,940
P1921,956
P1922,81
P1923,402
P1924,811
P1925,396
P1926,454
P1927,337
P1928,605
P1929,368
P1930,797
P1931,326
P1932,85
P1933,569
P1934,916
P1935,380
P1936,796
P1937,419
P1938,877
P1939,879
P1940,811
P1941,523
P1942,966
P1943,460
P1944,60
P1945,359
P1946,642
P1947,321
P1948,952
P1949,921
P1950,317
P1951,881
P1952,612
P1953,470
P1954,294
P1955,389
P1956,290
P1957,545
P1958,715
P1959,207
P1960,986
P1961,262
P1962,297
P1963,650
P1964,351
P1965,268
P1966,995
P1967,950
P1968,348
P1969,58
P1970,53
P1971,671
P1972,436
P1973,746
P1974,199
P1975,106
P1976,216
P1977,889
P1978,213
P1979,635
P1980,64
P1981,746
P1982,466
P1983,255
P1984,543
P1985,896
P1986,436
P1987,700
P1988,745
P1989,302
P1990,520
P1991,960
P1992,93
P1993,384
P1994,146
P1995,665
P1996,698
P1997,98
P1998,629
P1999,398
P2000,186
P2001,817
P2002,173
P2003,672
P2004,953
P2005,948
P2006,977
P2007,516
P2008,803
P2009,572
P2010,284
P2011,840
P2012,226
P2013,107
P2014,575
P2015,502
P2016,797
P2017,732
P2018,915
P2019,290
P2020,927
P2021,768
P2022,694
P2023,54
P2024,266
P2025,943
P2026,189
P2027,116
P2028,487
P2029,457
P2030,496
P2031,545
P2032,251
P2033,578
P2034,953
P2035,801
P2036,217
P2037,92
P2038,1000
P2039,290
P2040,956
P2041,927
P2042,842
P2043,609
P2044,119
P2045,820
P2046,604
P2047,698
P2048,211
P2049,724
P2050,296
P2051,304
P2052,599
P2053,186
P2054,466
P2055,956
P2056,257
P2057,636
P2058,521
P2059,542
P2060,514
P2061,996
P2062,930
P2063,836
P2064,346
P2065,191
P2066,135
P2067,204
P2068,199
P2069,206
P2070,691
P2071,206
P2072,520
P2073,779
P2074,357
P2075,601
P2076,993
P2077,126
P2078,273
P2079,758
P2080,860
P2081,354
P2082,57
P2083,920
P2084,231
P2085,875
P2086,159
P2087,336
P2088,239
